"No.","Time","Source","Destination","Protocol","Length","Info"
"13","1.252459000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x12233456"
"14","0.000198000","192.168.1.1","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x12233456"
"15","0.011010000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Request  - Transaction ID 0x12233456"
"16","0.000168000","192.168.1.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x12233456"
"17","0.010836000","192.168.1.7","255.255.255.255","UDP","554","Source port: bre  Destination port: discard"
"18","0.006199000","192.168.1.7","255.255.255.255","UDP","554","Source port: patrolview  Destination port: discard"
"19","0.006197000","192.168.1.7","255.255.255.255","UDP","554","Source port: drmsfsd  Destination port: discard"
"20","0.006198000","192.168.1.7","255.255.255.255","DCERPC","554","Request: seq: 1853191282 opnum: 29793 len: 29728"
"21","0.006201000","192.168.1.7","255.255.255.255","UDP","554","Source port: igo-incognito  Destination port: discard"
"22","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: brlp-0  Destination port: discard"
"23","0.006194000","192.168.1.7","255.255.255.255","UDP","554","Source port: brlp-1  Destination port: discard"
"24","0.006201000","192.168.1.7","255.255.255.255","UDP","554","Source port: brlp-2  Destination port: discard"
"25","0.006201000","192.168.1.7","255.255.255.255","UDP","554","Source port: brlp-3  Destination port: discard"
"26","0.006199000","192.168.1.7","255.255.255.255","UDP","554","Source port: shofar  Destination port: discard"
"27","0.006200000","192.168.1.7","255.255.255.255","UDP","554","Source port: synchronite  Destination port: discard"
"28","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: j-ac  Destination port: discard"
"29","0.006200000","192.168.1.7","255.255.255.255","UDP","554","Source port: accel  Destination port: discard"
"30","0.006201000","192.168.1.7","255.255.255.255","UDP","554","Source port: izm  Destination port: discard"
"31","0.006204000","192.168.1.7","255.255.255.255","UDP","554","Source port: g2tag  Destination port: discard"
"32","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: xgrid  Destination port: discard"
"33","0.006205000","192.168.1.7","255.255.255.255","UDP","554","Source port: apple-vpns-rp  Destination port: discard"
"34","0.006197000","192.168.1.7","255.255.255.255","UDP","554","Source port: aipn-reg  Destination port: discard"
"35","0.006198000","192.168.1.7","255.255.255.255","UDP","554","Source port: jomamqmonitor  Destination port: discard"
"36","0.006196000","192.168.1.7","255.255.255.255","UDP","554","Source port: cds  Destination port: discard"
"37","0.006197000","192.168.1.7","255.255.255.255","UDP","554","Source port: smartcard-tls  Destination port: discard"
"38","0.006198000","192.168.1.7","255.255.255.255","UDP","554","Source port: hillrserv  Destination port: discard"
"39","0.006205000","192.168.1.7","255.255.255.255","UDP","554","Source port: netscript  Destination port: discard"
"40","0.006200000","192.168.1.7","255.255.255.255","UDP","554","Source port: assuria-slm  Destination port: discard"
"41","0.006200000","192.168.1.7","255.255.255.255","UDP","554","Source port: 4120  Destination port: discard"
"42","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: e-builder  Destination port: discard"
"43","0.006201000","192.168.1.7","255.255.255.255","UDP","554","Source port: fprams  Destination port: discard"
"44","0.006195000","192.168.1.7","255.255.255.255","UDP","554","Source port: z-wave  Destination port: discard"
"45","0.006199000","192.168.1.7","255.255.255.255","UDP","554","Source port: tigv2  Destination port: discard"
"46","0.006197000","192.168.1.7","255.255.255.255","UDP","554","Source port: opsview-envoy  Destination port: discard"
"47","0.006199000","192.168.1.7","255.255.255.255","UDP","554","Source port: ddrepl  Destination port: discard"
"48","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: unikeypro  Destination port: discard"
"49","0.006198000","192.168.1.7","255.255.255.255","UDP","554","Source port: nufw  Destination port: discard"
"50","0.006200000","192.168.1.7","255.255.255.255","UDP","554","Source port: nuauth  Destination port: discard"
"51","0.006202000","192.168.1.7","255.255.255.255","UDP","554","Source port: fronet  Destination port: discard"
"52","0.006211000","192.168.1.7","255.255.255.255","UDP","554","Source port: stars  Destination port: discard"
